Order,Family,Species,Occurrence,Common name,Nom commun
Acipenseriformes,Acipenseridae,Acipenser fulvescens,Native,Lake sturgeon,Esturgeon jaune
Anguilliformes,Anguillidae,Anguilla rostrata,Introduced,American eel,
Cypriniformes,Cyprinidae,Carassius auratus,Introduced,Goldfish,Cyprin doré
Cypriniformes,Cyprinidae,Carassius gibelio,Introduced,Prussian carp,
Cypriniformes,Catostomidae,Carpiodes cyprinus,Native,Quillback,
Cypriniformes,Catostomidae,Catostomus catostomus,Native,Longnose sucker,Meunier rouge
Cypriniformes,Catostomidae,Catostomus commersonii,Native,White sucker,Meunier noir
Cypriniformes,Catostomidae,Catostomus macrocheilus,Native,Largescale sucker,Meunier à grandes écailles
Cypriniformes,Catostomidae,Catostomus platyrhynchus,Native,Mountain sucker,Meunier des montagnes
Cypriniformes,Leuciscidae,Chrosomus eos,Native,Northern redbelly dace,Ventre rouge du nord
Cypriniformes,Leuciscidae,Chrosomus neogaeus,Native,Finescale dace,Ventre citron
Salmoniformes,Salmonidae,Coregonus artedi,Native,Cisco,Cisco de lac
Salmoniformes,Salmonidae,Coregonus clupeaformis,Native,Lake whitefish,Grand corégone
Salmoniformes,Salmonidae,Coregonus zenithicus,Native,Shortjaw cisco,Cisco à mâchoires égales
Perciformes/Cottoidei,Cottidae,Cottus bairdii,Native,Mottled sculpin,Chabot tacheté
Perciformes/Cottoidei,Cottidae,Cottus cognatus,Native,Slimy sculpin,Chabot visqueux
Perciformes/Cottoidei,Cottidae,Cottus confusus,Native,Shorthead sculpin,Chabot à tête courte
Perciformes/Cottoidei,Cottidae,Cottus ricei,Native,Spoonhead sculpin,Chabot à tête plate
Cypriniformes,Leuciscidae,Couesius plumbeus,Native,Lake chub,Méné de lac
Perciformes/Gasterosteoidei,Gasterosteidae,Culaea inconstans,Native,Brook stickleback,Épinoche à cinq épines
Esociformes,Esocidae,Esox lucius,Native,Northern pike,Grand brochet
Perciformes/Percoidei,Percidae,Etheostoma exile,Native,Iowa darter,Weed darter
Cyprinodontiformes,Poeciliidae,Gambusia affinis,Introduced,Mosquitofish,Gambusie
Perciformes/Gasterosteoidei,Gasterosteidae,Gasterosteus aculeatus,Introduced,Three-spined stickleback,Épinoche à trois épines
Hiodontiformes,Hiodontidae,Hiodon alosoides,Native,Goldeye,La Queche
Hiodontiformes,Hiodontidae,Hiodon tergisus,Native,Mooneye,Laquaiche argentée
Cypriniformes,Leuciscidae,Hybognathus argyritis,Native,Western silvery minnow,
Cypriniformes,Leuciscidae,Hybognathus hankinsoni,Native,Brassy minnow,Mémé laiton
Centrarchiformes,Centrarchidae,Lepomis gibbosus,Introduced,Pumpkinseed,Crapet-soleil
Petromyzontiformes,Petromyzontidae,Lethenteron camtschaticum,Native,Arctic lamprey,Lamproie arctique
Gadiformes,Lotidae,Lota lota,Native,Burbot,Lotte
Cypriniformes,Leuciscidae,Margariscus nachtriebi,Native,Northern pearl dace,
Centrarchiformes,Centrarchidae,Micropterus dolomieu,Introduced,Smallmouth bass,Achigan à petite bouche
Centrarchiformes,Centrarchidae,Micropterus salmoides,Introduced,Largemouth black bass,Achigan à grande bouche
Cypriniformes,Catostomidae,Moxostoma anisurum,Native,Silver redhorse,Suceur blanc
Cypriniformes,Catostomidae,Moxostoma macrolepidotum,Native,Shorthead redhorse,Suceur rouge
Perciformes/Cottoidei,Cottidae,Myoxocephalus thompsonii,Native,Deepwater sculpin,
Cypriniformes,Leuciscidae,Notropis atherinoides,Native,Emerald shiner,Méné émeraude
Cypriniformes,Leuciscidae,Notropis blennius,Native,River shiner,
Cypriniformes,Leuciscidae,Notropis hudsonius,Native,Spottail shiner,Queue à tache noire
Siluriformes,Ictaluridae,Noturus flavus,Native,Stonecat,
Salmoniformes,Salmonidae,Oncorhynchus aguabonita,Introduced,Golden trout,Truite dorée
Salmoniformes,Salmonidae,Oncorhynchus kisutch,Introduced,Coho salmon,Saumon coho
Salmoniformes,Salmonidae,Oncorhynchus mykiss,Native,Rainbow trout,Truite-arc-en-ciel
Salmoniformes,Salmonidae,Oncorhynchus nerka,Introduced,Sockeye salmon,Hísṇ
Perciformes/Percoidei,Percidae,Perca flavescens,Native,American yellow perch,Perchaude
Perciformes/Percoidei,Percidae,Percina caprodes,Native,Logperch,Dard-perche
Percopsiformes,Percopsidae,Percopsis omiscomaycus,Native,Trout-perch,Omisco
Cypriniformes,Leuciscidae,Pimephales promelas,Native,Fathead minnow,
Cypriniformes,Leuciscidae,Platygobio gracilis,Native,Flathead chub,Méné à tête plate
Cyprinodontiformes,Poeciliidae,Poecilia latipinna,Introduced,Sailfin molly,Molliénésie á voilure
Salmoniformes,Salmonidae,Prosopium coulterii,Native,Pygmy whitefish,Ménomini pygmée
Salmoniformes,Salmonidae,Prosopium cylindraceum,Native,Round whitefish,Ménomini rond
Salmoniformes,Salmonidae,Prosopium williamsoni,Native,Mountain whitefish,Grayling
Cypriniformes,Leuciscidae,Ptychocheilus oregonensis,Native,Northern pikeminnow,Sauvagesse du nord
Perciformes/Gasterosteoidei,Gasterosteidae,Pungitius pungitius,Native,Ninespine stickleback,Épinoche à neuf épines
